instance_id,dataset,source_file,pair_index,N,R,I,L,F,original_line_A,original_line_B,len_A,len_B,unique_labels_A,unique_labels_B,max_label_A,max_label_B,processed_file
SREV_000028,SREV,N200_SREV100_I0_L100_F0.txt,28,200,100,0,100,0,109,111,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000029,SREV,N200_SREV100_I0_L100_F0.txt,29,200,100,0,100,0,113,115,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000030,SREV,N200_SREV100_I0_L100_F0.txt,30,200,100,0,100,0,117,119,200,200,91,91,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000031,SREV,N200_SREV100_I0_L100_F0.txt,31,200,100,0,100,0,121,123,200,200,80,80,99,99,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000032,SREV,N200_SREV100_I0_L100_F0.txt,32,200,100,0,100,0,125,127,200,200,78,78,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000033,SREV,N200_SREV100_I0_L100_F0.txt,33,200,100,0,100,0,129,131,200,200,84,84,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000034,SREV,N200_SREV100_I0_L100_F0.txt,34,200,100,0,100,0,133,135,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000035,SREV,N200_SREV100_I0_L100_F0.txt,35,200,100,0,100,0,137,139,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000036,SREV,N200_SREV100_I0_L100_F0.txt,36,200,100,0,100,0,141,143,200,200,86,86,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000037,SREV,N200_SREV100_I0_L100_F0.txt,37,200,100,0,100,0,145,147,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000038,SREV,N200_SREV100_I0_L100_F0.txt,38,200,100,0,100,0,149,151,200,200,82,82,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000039,SREV,N200_SREV100_I0_L100_F0.txt,39,200,100,0,100,0,153,155,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000040,SREV,N200_SREV100_I0_L100_F0.txt,40,200,100,0,100,0,157,159,200,200,91,91,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000041,SREV,N200_SREV100_I0_L100_F0.txt,41,200,100,0,100,0,161,163,200,200,94,94,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000042,SREV,N200_SREV100_I0_L100_F0.txt,42,200,100,0,100,0,165,167,200,200,92,92,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000043,SREV,N200_SREV100_I0_L100_F0.txt,43,200,100,0,100,0,169,171,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000044,SREV,N200_SREV100_I0_L100_F0.txt,44,200,100,0,100,0,173,175,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000045,SREV,N200_SREV100_I0_L100_F0.txt,45,200,100,0,100,0,177,179,200,200,86,86,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000046,SREV,N200_SREV100_I0_L100_F0.txt,46,200,100,0,100,0,181,183,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000047,SREV,N200_SREV100_I0_L100_F0.txt,47,200,100,0,100,0,185,187,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000048,SREV,N200_SREV100_I0_L100_F0.txt,48,200,100,0,100,0,189,191,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000049,SREV,N200_SREV100_I0_L100_F0.txt,49,200,100,0,100,0,193,195,200,200,91,91,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000050,SREV,N200_SREV100_I0_L100_F0.txt,50,200,100,0,100,0,197,199,200,200,83,83,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000051,SREV,N200_SREV100_I0_L100_F0.txt,51,200,100,0,100,0,201,203,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000052,SREV,N200_SREV100_I0_L100_F0.txt,52,200,100,0,100,0,205,207,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000053,SREV,N200_SREV100_I0_L100_F0.txt,53,200,100,0,100,0,209,211,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000054,SREV,N200_SREV100_I0_L100_F0.txt,54,200,100,0,100,0,213,215,200,200,88,88,99,99,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000055,SREV,N200_SREV100_I0_L100_F0.txt,55,200,100,0,100,0,217,219,200,200,86,86,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000056,SREV,N200_SREV100_I0_L100_F0.txt,56,200,100,0,100,0,221,223,200,200,86,86,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000057,SREV,N200_SREV100_I0_L100_F0.txt,57,200,100,0,100,0,225,227,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000058,SREV,N200_SREV100_I0_L100_F0.txt,58,200,100,0,100,0,229,231,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000059,SREV,N200_SREV100_I0_L100_F0.txt,59,200,100,0,100,0,233,235,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000060,SREV,N200_SREV100_I0_L100_F0.txt,60,200,100,0,100,0,237,239,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000061,SREV,N200_SREV100_I0_L100_F0.txt,61,200,100,0,100,0,241,243,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000062,SREV,N200_SREV100_I0_L100_F0.txt,62,200,100,0,100,0,245,247,200,200,90,90,99,99,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000063,SREV,N200_SREV100_I0_L100_F0.txt,63,200,100,0,100,0,249,251,200,200,84,84,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000064,SREV,N200_SREV100_I0_L100_F0.txt,64,200,100,0,100,0,253,255,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000065,SREV,N200_SREV100_I0_L100_F0.txt,65,200,100,0,100,0,257,259,200,200,79,79,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000066,SREV,N200_SREV100_I0_L100_F0.txt,66,200,100,0,100,0,261,263,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000067,SREV,N200_SREV100_I0_L100_F0.txt,67,200,100,0,100,0,265,267,200,200,85,85,98,98,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000068,SREV,N200_SREV100_I0_L100_F0.txt,68,200,100,0,100,0,269,271,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000069,SREV,N200_SREV100_I0_L100_F0.txt,69,200,100,0,100,0,273,275,200,200,85,85,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000070,SREV,N200_SREV100_I0_L100_F0.txt,70,200,100,0,100,0,277,279,200,200,82,82,99,99,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000071,SREV,N200_SREV100_I0_L100_F0.txt,71,200,100,0,100,0,281,283,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000072,SREV,N200_SREV100_I0_L100_F0.txt,72,200,100,0,100,0,285,287,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000073,SREV,N200_SREV100_I0_L100_F0.txt,73,200,100,0,100,0,289,291,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000074,SREV,N200_SREV100_I0_L100_F0.txt,74,200,100,0,100,0,293,295,200,200,82,82,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000075,SREV,N200_SREV100_I0_L100_F0.txt,75,200,100,0,100,0,297,299,200,200,92,92,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000076,SREV,N200_SREV100_I0_L100_F0.txt,76,200,100,0,100,0,301,303,200,200,86,86,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000077,SREV,N200_SREV100_I0_L100_F0.txt,77,200,100,0,100,0,305,307,200,200,81,81,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000078,SREV,N200_SREV100_I0_L100_F0.txt,78,200,100,0,100,0,309,311,200,200,82,82,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000079,SREV,N200_SREV100_I0_L100_F0.txt,79,200,100,0,100,0,313,315,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000080,SREV,N200_SREV100_I0_L100_F0.txt,80,200,100,0,100,0,317,319,200,200,93,93,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000081,SREV,N200_SREV100_I0_L100_F0.txt,81,200,100,0,100,0,321,323,200,200,85,85,99,99,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000082,SREV,N200_SREV100_I0_L100_F0.txt,82,200,100,0,100,0,325,327,200,200,90,90,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000083,SREV,N200_SREV100_I0_L100_F0.txt,83,200,100,0,100,0,329,331,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000084,SREV,N200_SREV100_I0_L100_F0.txt,84,200,100,0,100,0,333,335,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000085,SREV,N200_SREV100_I0_L100_F0.txt,85,200,100,0,100,0,337,339,200,200,82,82,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000086,SREV,N200_SREV100_I0_L100_F0.txt,86,200,100,0,100,0,341,343,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000087,SREV,N200_SREV100_I0_L100_F0.txt,87,200,100,0,100,0,345,347,200,200,88,88,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000088,SREV,N200_SREV100_I0_L100_F0.txt,88,200,100,0,100,0,349,351,200,200,89,89,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000089,SREV,N200_SREV100_I0_L100_F0.txt,89,200,100,0,100,0,353,355,200,200,89,89,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000090,SREV,N200_SREV100_I0_L100_F0.txt,90,200,100,0,100,0,357,359,200,200,89,89,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000091,SREV,N200_SREV100_I0_L100_F0.txt,91,200,100,0,100,0,361,363,200,200,92,92,99,99,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000092,SREV,N200_SREV100_I0_L100_F0.txt,92,200,100,0,100,0,365,367,200,200,89,89,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000093,SREV,N200_SREV100_I0_L100_F0.txt,93,200,100,0,100,0,369,371,200,200,89,89,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000094,SREV,N200_SREV100_I0_L100_F0.txt,94,200,100,0,100,0,373,375,200,200,83,83,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000095,SREV,N200_SREV100_I0_L100_F0.txt,95,200,100,0,100,0,377,379,200,200,84,84,99,99,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000096,SREV,N200_SREV100_I0_L100_F0.txt,96,200,100,0,100,0,381,383,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000097,SREV,N200_SREV100_I0_L100_F0.txt,97,200,100,0,100,0,385,387,200,200,82,82,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000098,SREV,N200_SREV100_I0_L100_F0.txt,98,200,100,0,100,0,389,391,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000099,SREV,N200_SREV100_I0_L100_F0.txt,99,200,100,0,100,0,393,395,200,200,79,79,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000100,SREV,N200_SREV100_I0_L100_F0.txt,100,200,100,0,100,0,397,399,200,200,87,87,100,100,data/processed/SREV/N200_SREV100_I0_L100_F0.txt
SREV_000101,SREV,N200_SREV100_I0_L10_F0.txt,1,200,100,0,10,0,1,3,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000102,SREV,N200_SREV100_I0_L10_F0.txt,2,200,100,0,10,0,5,7,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000103,SREV,N200_SREV100_I0_L10_F0.txt,3,200,100,0,10,0,9,11,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000104,SREV,N200_SREV100_I0_L10_F0.txt,4,200,100,0,10,0,13,15,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000105,SREV,N200_SREV100_I0_L10_F0.txt,5,200,100,0,10,0,17,19,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000106,SREV,N200_SREV100_I0_L10_F0.txt,6,200,100,0,10,0,21,23,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000107,SREV,N200_SREV100_I0_L10_F0.txt,7,200,100,0,10,0,25,27,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000108,SREV,N200_SREV100_I0_L10_F0.txt,8,200,100,0,10,0,29,31,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000109,SREV,N200_SREV100_I0_L10_F0.txt,9,200,100,0,10,0,33,35,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000110,SREV,N200_SREV100_I0_L10_F0.txt,10,200,100,0,10,0,37,39,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000111,SREV,N200_SREV100_I0_L10_F0.txt,11,200,100,0,10,0,41,43,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000112,SREV,N200_SREV100_I0_L10_F0.txt,12,200,100,0,10,0,45,47,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000113,SREV,N200_SREV100_I0_L10_F0.txt,13,200,100,0,10,0,49,51,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000114,SREV,N200_SREV100_I0_L10_F0.txt,14,200,100,0,10,0,53,55,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000115,SREV,N200_SREV100_I0_L10_F0.txt,15,200,100,0,10,0,57,59,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000116,SREV,N200_SREV100_I0_L10_F0.txt,16,200,100,0,10,0,61,63,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000117,SREV,N200_SREV100_I0_L10_F0.txt,17,200,100,0,10,0,65,67,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000118,SREV,N200_SREV100_I0_L10_F0.txt,18,200,100,0,10,0,69,71,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000119,SREV,N200_SREV100_I0_L10_F0.txt,19,200,100,0,10,0,73,75,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000120,SREV,N200_SREV100_I0_L10_F0.txt,20,200,100,0,10,0,77,79,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000121,SREV,N200_SREV100_I0_L10_F0.txt,21,200,100,0,10,0,81,83,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000122,SREV,N200_SREV100_I0_L10_F0.txt,22,200,100,0,10,0,85,87,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000123,SREV,N200_SREV100_I0_L10_F0.txt,23,200,100,0,10,0,89,91,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000124,SREV,N200_SREV100_I0_L10_F0.txt,24,200,100,0,10,0,93,95,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000125,SREV,N200_SREV100_I0_L10_F0.txt,25,200,100,0,10,0,97,99,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000126,SREV,N200_SREV100_I0_L10_F0.txt,26,200,100,0,10,0,101,103,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000127,SREV,N200_SREV100_I0_L10_F0.txt,27,200,100,0,10,0,105,107,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000128,SREV,N200_SREV100_I0_L10_F0.txt,28,200,100,0,10,0,109,111,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000129,SREV,N200_SREV100_I0_L10_F0.txt,29,200,100,0,10,0,113,115,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000130,SREV,N200_SREV100_I0_L10_F0.txt,30,200,100,0,10,0,117,119,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000131,SREV,N200_SREV100_I0_L10_F0.txt,31,200,100,0,10,0,121,123,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000132,SREV,N200_SREV100_I0_L10_F0.txt,32,200,100,0,10,0,125,127,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000133,SREV,N200_SREV100_I0_L10_F0.txt,33,200,100,0,10,0,129,131,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000134,SREV,N200_SREV100_I0_L10_F0.txt,34,200,100,0,10,0,133,135,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000135,SREV,N200_SREV100_I0_L10_F0.txt,35,200,100,0,10,0,137,139,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000136,SREV,N200_SREV100_I0_L10_F0.txt,36,200,100,0,10,0,141,143,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000137,SREV,N200_SREV100_I0_L10_F0.txt,37,200,100,0,10,0,145,147,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000138,SREV,N200_SREV100_I0_L10_F0.txt,38,200,100,0,10,0,149,151,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000139,SREV,N200_SREV100_I0_L10_F0.txt,39,200,100,0,10,0,153,155,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000140,SREV,N200_SREV100_I0_L10_F0.txt,40,200,100,0,10,0,157,159,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000141,SREV,N200_SREV100_I0_L10_F0.txt,41,200,100,0,10,0,161,163,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000142,SREV,N200_SREV100_I0_L10_F0.txt,42,200,100,0,10,0,165,167,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000143,SREV,N200_SREV100_I0_L10_F0.txt,43,200,100,0,10,0,169,171,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000144,SREV,N200_SREV100_I0_L10_F0.txt,44,200,100,0,10,0,173,175,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000145,SREV,N200_SREV100_I0_L10_F0.txt,45,200,100,0,10,0,177,179,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000146,SREV,N200_SREV100_I0_L10_F0.txt,46,200,100,0,10,0,181,183,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000147,SREV,N200_SREV100_I0_L10_F0.txt,47,200,100,0,10,0,185,187,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000148,SREV,N200_SREV100_I0_L10_F0.txt,48,200,100,0,10,0,189,191,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000149,SREV,N200_SREV100_I0_L10_F0.txt,49,200,100,0,10,0,193,195,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000150,SREV,N200_SREV100_I0_L10_F0.txt,50,200,100,0,10,0,197,199,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000151,SREV,N200_SREV100_I0_L10_F0.txt,51,200,100,0,10,0,201,203,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000152,SREV,N200_SREV100_I0_L10_F0.txt,52,200,100,0,10,0,205,207,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000153,SREV,N200_SREV100_I0_L10_F0.txt,53,200,100,0,10,0,209,211,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000154,SREV,N200_SREV100_I0_L10_F0.txt,54,200,100,0,10,0,213,215,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000155,SREV,N200_SREV100_I0_L10_F0.txt,55,200,100,0,10,0,217,219,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000156,SREV,N200_SREV100_I0_L10_F0.txt,56,200,100,0,10,0,221,223,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
SREV_000157,SREV,N200_SREV100_I0_L10_F0.txt,57,200,100,0,10,0,225,227,200,200,10,10,10,10,data/processed/SREV/N200_SREV100_I0_L10_F0.txt
